15355.5 -36.8116 10.5321  0.354921 0.335687
17739.1 -25.6294 -8.96388  0.302204 0.332242
20440.2 -11.5212 -8.4181  0.251865 0.331823
16974.9 -41.8362 -1.63821  0.318193 0.328733
15195.6 -36.8374 -12.6851  0.358771 0.332202
16616.5 -0.506798 -25.1995  0.325979 0.328226
16428.1 38.817 -15.673  0.330147 0.330085
16805.4 31.3296 -29.2692  0.321852 0.330495
20647.7 -6.01247 -53.6266  0.248363 0.323643
16749 0.130132 -5.45481  0.323077 0.32419
18422.2 -2.45423 13.0663  0.288594 0.320796
17237.5 18.2672 3.92583  0.312605 0.320667
15881.4 -15.4723 17.8812  0.342551 0.319271
17741.8 -47.0488 23.4168  0.30215 0.320118
15838 -25.0697 35.1015  0.343556 0.319502
20157.8 15.7196 51.1452  0.256709 0.313698
16240.9 -56.0417 60.843  0.334344 0.314999
14463.9 8.56837 22.6607  0.376923 0.320546
20377.3 21.5186 -14.0402  0.252935 0.316932
22402.4 27.93 -34.8453  0.220638 0.311573
16433.7 25.8423 -20.4829  0.330024 0.313705
19728.7 -2.16954 -6.5259  0.264248 0.309723
21235.3 -12.2054 71.5517  0.238712 0.30404
16287.2 -47.2323 -24.6751  0.333301 0.308065
14584.3 -26.0131 -7.96019  0.373875 0.307751
19104.3 -31.5297 -6.21417  0.275616 0.3044
17733.3 -33.81 2.85681  0.302322 0.304323
18330.4 14.7454 -0.867963  0.290388 0.301209
17854.6 52.2161 -4.65094  0.299859 0.302189
14886.2 29.8711 -8.47707  0.366338 0.302962
16134.6 77.5389 17.1778  0.33675 0.30751
13911.5 14.3807 2.04862  0.391233 0.313479
17051.7 50.4777 -11.8916  0.316548 0.310921
16807.5 6.73397 -3.66685  0.321805 0.315751
17709.5 -23.282 39.5362  0.302809 0.322716
15674.7 0.335236 32.4342  0.347361 0.325033
17825.5 -12.4985 -9.45793  0.300448 0.326226
19735.9 -26.0787 9.65267  0.26412 0.328804
20573.7 -43.1133 17.3223  0.249606 0.326671
16438.8 1.52679 18.1603  0.329909 0.324061
17930.3 21.8114 13.123  0.298332 0.322955
16197.5 42.6002 9.75244  0.335325 0.322188
15378.9 17.3045 -10.2646  0.354361 0.322264
19139.5 14.9439 -5.76424  0.274962 0.319229
20372.2 21.9608 -20.2864  0.253023 0.313122
17996.1 -19.4678 -35.258  0.29701 0.312606
17994 46.0887 -0.175591  0.297052 0.307373
14536.5 52.424 14.9867  0.375082 0.310455
19564.6 21.8554 -17.138  0.267189 0.306327
21210.7 27.8899 -16.2722  0.239107 0.304985
17508.5 15.4323 -1.41428  0.306942 0.304139
16808.7 20.6941 -4.4733  0.321779 0.304069
15857.8 15.2033 8.43303  0.343097 0.306061
20883 -10.2913 20.7777  0.244452 0.304898
20727.2 -24.4555 7.80406  0.247035 0.301082
21900 -2.47649 7.59611  0.228245 0.298196
17736.2 27.5639 -4.44902  0.302263 0.297808
19602 17.6642 20.2873  0.266516 0.291506
22108.8 36.3966 31.8806  0.225052 0.286939
19073.9 11.6023 29.2649  0.276182 0.287169
24143.8 53.9007 -35.4769  0.196184 0.279682
19167.9 4.40828 20.9376  0.274436 0.279381
18349.1 8.49414 7.50335  0.290022 0.27247
19460.9 -34.7274 7.0721  0.269066 0.26945
19154.1 8.34571 -31.6988  0.274691 0.270236
15251.1 -8.1716 -30.9733  0.357429 0.27293
16869.4 20.4893 -37.4956  0.320465 0.27349
19973 0.767576 -58.6139  0.259928 0.269985
22423.2 8.20816 -13.4727  0.220328 0.270997
19226.8 63.8052 -30.7613  0.273348 0.274431
18737.4 48.8953 -27.5642  0.282522 0.27929
20446.6 13.903 14.5833  0.251755 0.277777
16286.3 -11.3725 14.3965  0.333321 0.281579
17477 28.7557 25.5605  0.307594 0.285316
16764.7 -18.1171 -18.2751  0.322737 0.286035
