/home/jaredmales/Source/Magellan/visao_base/calib/visao/reconstructor/RecMats/Rec_20111125_165625.fits
15248.8 -6.98529 -21.2213  0.357485 0.371824
14472.1 10.9839 -28.0429  0.376716 0.371
16230 -1.62718 -32.2894  0.334591 0.363687
15269.1 -10.1846 -33.6538  0.356996 0.357179
16596.2 -1.35285 -34.5341  0.326425 0.352189
15344.4 13.9558 -30.5082  0.355188 0.346284
15162 -24.4307 -34.6461  0.359585 0.340894
15141.8 -12.1111 -20.2223  0.360075 0.340383
16923.7 -8.1751 -13.1499  0.319293 0.332235
16920.4 -5.94568 -29.0887  0.319365 0.327521
16412 -8.70408 0.185518  0.330508 0.324667
17802.3 -13.3064 -14.6562  0.30092 0.319053
16019.2 -12.7372 -14.1545  0.339381 0.318072
17418.1 -15.885 21.1164  0.308821 0.311795
16974.6 -26.897 -2.88774  0.3182 0.308925
17445 -19.3518 5.65542  0.30826 0.305838
17248.4 -35.1449 14.3486  0.312375 0.300934
16442.1 -9.00284 13.5621  0.329837 0.301567
2.21167e+35 2.3326e+16 -2.46938e+15  0 0.277292
15014.7 9.26145 -6.73336  0.363175 0.283533
14727.6 21.3632 -18.1173  0.370277 0.278986
15765.3 13.5779 -18.3919  0.345244 0.276908
14628.4 3.88036 -8.20036  0.372764 0.276577
15039.5 31.0908 5.86743  0.362568 0.27956
15184.3 18.2326 2.66473  0.359043 0.282762
16260.8 -8.63255 -8.10043  0.333895 0.287865
15666.3 -7.10861 -4.35366  0.347558 0.296267
16556.4 -22.8491 -6.01769  0.327304 0.305404
17198.2 -7.362 -3.64541  0.313434 0.312495
16838 -9.18151 0.614102  0.321144 0.31846
16189.1 -8.06743 -8.30033  0.335513 0.325888
16904.8 -16.0135 2.13066  0.3197 0.327148
16744.7 -1.50015 2.90415  0.323171 0.330006
14488.1 -10.8234 2.44981  0.376308 0.332691
15203.8 18.9199 19.3348  0.358573 0.33261
16636 10.7018 13.342  0.32555 0.32968
16600.8 4.41022 6.18956  0.326325 0.324438
16702.9 24.6415 0.148815  0.324084 0.335129
16141.5 27.5672 8.2791  0.336594 0.316452
15718.9 44.3211 27.3863  0.346328 0.314821
14648.7 30.0261 -5.15772  0.372255 0.319588
14046.1 7.42674 -19.3997  0.387699 0.323045
15336.1 14.9513 -24.609  0.355386 0.326253
15534.6 11.5208 -4.8805  0.350659 0.329784
13971.2 5.07513 -15.5086  0.389663 0.336788
15813.7 10.9535 -0.753499  0.344119 0.337866
14776.1 2.86638 -8.6533  0.36907 0.342671
14998.7 2.17184 19.0714  0.363567 0.345837
15467.9 -2.79578 17.5655  0.352241 0.346913
15265.3 -5.42067 31.0928  0.357087 0.347684
15954.7 28.0023 41.4497  0.340861 0.347968
15454.7 -17.6015 22.8131  0.352555 0.348082
15678.5 2.53305 -4.2469  0.347272 0.34466
16100.7 -13.6829 2.49893  0.337522 0.343169
17224.7 20.891 10.5758  0.312875 0.340176
