17724.8 641.581 1.78607  0.302497 0.292056
16278 159.006 243.452  0.333508 0.295967
17186 379.226 277.344  0.313693 0.294178
17698.2 125.572 160.154  0.30304 0.29609
20100.3 30.9152 50.7993  0.257706 0.295949
17524.9 1401.13 1140.19  0.306604 0.298622
17122.9 661.893 66.3247  0.315032 0.298193
17708 16.67 203.992  0.30284 0.299854
17283.3 626.227 108.548  0.311641 0.301702
20364.1 19.0006 1390.14  0.253162 0.300436
18047.9 93.4813 907.702  0.295974 0.301688
15375.7 1101.23 69.8913  0.354439 0.302401
18480.9 3157.06 92.7984  0.287453 0.303586
15909.1 51.2317 25.2639  0.341912 0.307357
18953.3 401.859 35.4755  0.278438 0.30622
15909.5 1314.42 24.9497  0.341903 0.309788
18743.9 996.395 22.4187  0.2824 0.307398
19898.2 1638.21 1717.13  0.261244 0.306018
14614.9 50.9748 60.6613  0.373103 0.309997
18288.4 31.9857 130.108  0.291211 0.310729
17805.8 425.792 101.644  0.300847 0.311387
17841.4 370.826 2078.11  0.300126 0.310958
18510.5 233.827 656.861  0.286881 0.310574
17804.3 129.571 0.000177709  0.300879 0.309116
19693.9 2415.45 47.4718  0.264869 0.308788
22155.6 1253.43 76.7065  0.224342 0.305728
22316.4 54.9155 158.289  0.221922 0.298367
20823 589.709 20.8046  0.245443 0.296067
16674.6 217.165 67.8805  0.324704 0.292821
20763.9 1418.09 45.4968  0.246424 0.288562
16215.2 1395.46 0.447846  0.334923 0.286354
19736.6 10.5277 433.723  0.264108 0.281713
16560.1 650.164 1536.81  0.327222 0.285849
20438.1 612.757 807.892  0.251901 0.2786
20033.7 1436.69 711.167  0.258867 0.278304
19352.9 6459.49 140.788  0.271032 0.278292
18425.5 52.6192 85.4145  0.28853 0.278973
19914.3 1378.74 22.116  0.26096 0.279092
14706.1 50.9032 480.663  0.370814 0.284024
17941.7 1745.12 420.247  0.298102 0.284239
15769.3 127.005 234.603  0.345152 0.290269
15364.8 66.5645 83.9882  0.354699 0.296395
17403.3 307.279 355.72  0.309128 0.300999
16703.3 63.9566 369.09  0.324076 0.302129
15453.5 2134.76 280.537  0.352584 0.31056
18671.4 144.158 738.121  0.283784 0.309337
16469.3 18.4006 2.48019  0.329233 0.316558
18652.2 91.987 1023.63  0.284152 0.315401
21170.9 2205.65 3719.15  0.239751 0.315781
15994.3 102.94 202.797  0.339953 0.320527
19224.9 0.403591 659.02  0.273383 0.318604
17725.7 449.651 85.6375  0.302478 0.317191
18977.1 1361.47 148.182  0.277992 0.316992
23556.1 206.406 6.70961  0.204118 0.306274
19622.8 1706.28 125.923  0.266143 0.304285
22901.9 6569.26 617.903  0.213328 0.295865
19544.5 2204.64 29.118  0.267552 0.28979
19204.8 1054.48 524.321  0.273753 0.285475
19121.6 3275.38 86.3227  0.275294 0.281516
19161.8 325.925 2173.41  0.27455 0.275299
22642.5 374.169 4240.14  0.217093 0.271089
15437.9 45.917 49.9678  0.352954 0.272317
23447.5 106.541 10.461  0.205619 0.265205
16766.1 4.34275 602.416  0.322706 0.271884
19591.8 71.1079 921.907  0.2667 0.267646
19757.7 494.584 116.143  0.263731 0.269131
16522.1 2791.05 242.075  0.328061 0.272422
17776.8 1629.43 213.74  0.301436 0.273096
18527.1 315.221 1434.8  0.286559 0.278634
18059 1.85703 177.535  0.295752 0.280444
23007.6 3.41003 993.553  0.211812 0.281242
17968.2 205.428 101.146  0.29757 0.284859
17400.5 152.288 835.986  0.309186 0.286738
21183.1 1505.61 555.607  0.239553 0.284724
22581.8 127.066 955.006  0.217984 0.281107
23964.4 104.346 303.508  0.198572 0.281698
20377.3 1097.8 198.112  0.252936 0.274673
19793.1 483.763 385.865  0.263103 0.276195
21369.2 244.23 45.3732  0.236565 0.268955
16987.8 30.476 33.7057  0.317915 0.269207
16818.5 203.554 111.583  0.321567 0.270218
13976.2 2388.19 465.026  0.389532 0.272501
19905.5 641.627 1295.63  0.261115 0.269675
16692.7 423.548 343.614  0.324308 0.274944
18135.2 2229.54 1427.6  0.294237 0.275952
19995.6 478.614 116.224  0.259532 0.282124
19455.9 1288.12 14.7623  0.269156 0.285395
19377.9 155.796 334.455  0.270576 0.286166
20345.4 1.33629 23.0788  0.25348 0.288121
19394.4 315.459 10.4079  0.270276 0.290341
19573.5 3207.55 15.858  0.26703 0.292643
19473.8 1613.81 361.103  0.268831 0.291472
18055.1 618.546 14.6274  0.295831 0.289861
21661.8 31.3253 442.798  0.231941 0.287207
19809.9 76.0607 1149.75  0.262805 0.283456
20607.3 110.544 0.445728  0.249042 0.280191
17117.6 147.865 293.074  0.315144 0.275309
16524.5 639.499 17.2661  0.328009 0.278342
16386.4 2084.04 366.877  0.331079 0.278608
18350.4 225.57 10.2103  0.289996 0.278529
15572.4 727.531 27.4241  0.349766 0.284862
17630.2 17.7062 108.132  0.304433 0.287811
20805.5 39.1085 2.17472  0.245733 0.288459
18499.3 148.62 0.622373  0.287097 0.293171
17810.9 8.65425 149.382  0.300745 0.296315
17674.8 839.744 670.871  0.303518 0.299094
17516 48.143 1.87262  0.306787 0.302046
16317.2 11.8769 10.515  0.332627 0.303198
22266.6 39.6571 615.646  0.222669 0.301459
16088.3 56.4422 576.848  0.337802 0.305077
16426.3 548.123 949.803  0.330187 0.307711
21828.4 115.882 156.871  0.22935 0.302577
15977.1 992.906 83.4509  0.340347 0.304745
15776.8 290.052 35.0508  0.344977 0.304347
16241.2 626.408 518.205  0.334336 0.307414
19314.6 2322.03 121.247  0.271733 0.304138
16485 87.5153 0.9123  0.328883 0.306184
16722.8 253.17 357.486  0.323649 0.310328
17163.3 11.0057 534.547  0.314174 0.312243
14486 44.7033 1295.08  0.376362 0.317088
18433.1 812.671 1473.61  0.288382 0.316377
16167 538.415 150.496  0.336015 0.320436
18261.1 1847.34 638.116  0.291748 0.317422
